metric,definition,formula_from_spheroid_rd_model,outcome_predicted,evidence_tier,tumor_type,cohort_size,direction_of_effect,key_citation,doi,computable_from_avascular_spheroid,notes
Tumour shrinkage / kill rate constant KS (a.k.a. d),"Exponential rate constant of the drug-sensitive, regressing tumour component.",Second rate constant of the same biexponential fit to simulated N(t).,Overall survival - NOT supported,A (as a negative result),Metastatic castration-resistant prostate cancer,112,log(d) correlated only weakly with survival (r=-0.218) while log(g) correlated strongly (r=-0.72),"Stein WD 2008, The Oncologist",10.1634/theoncologist.2008-0075,yes,"IMPORTANT NEGATIVE: kill rate is the metric most naturally read off an in vitro Hill curve, and it is the one that did NOT predict survival. Do not headline KS."
Change in tumour size at a fixed early timepoint (week 8) as an OS covariate,"Relative change from baseline in summed tumour size at a fixed early visit, entered in a parametric survival model with baseline covariates.",As for ETS.,Overall survival,A,Non-small cell lung cancer (4 registration trials),4 registration trials (FDA pooled),Greater week-8 shrinkage -> longer survival; ECOG score and baseline tumour size were independent prognostic factors,"Wang Y 2009, Clinical Pharmacology & Therapeutics",10.1038/clpt.2009.64,yes,"The two co-predictors (performance status, baseline burden) are not spheroid-derivable - our metric supplies only the tumour-dynamics term."
Baseline tumour burden,Sum of longest diameters of measurable target lesions before treatment.,"N(0) or initial spheroid radius R(0) - but in a simulation this is an input, not a prediction.",Overall survival and objective response rate,A,"Advanced melanoma (KEYNOTE-001, pembrolizumab)",583 of 655 with measurable disease,Below-median baseline size: ORR 44% vs 23% (P<0.001) and OS HR 0.38 (P<0.001); remained independent in multivariate analysis,"Joseph RW 2018, Clinical Cancer Research",10.1158/1078-0432.CCR-17-2386,partial,"Set by us, so useless as a discriminating readout - but it must be HELD CONSTANT across combinations or it will confound every other metric."
Residual disease burden after therapy (RCB analogue),Continuous index of residual tumour after a complete course of therapy.,"N(t_end)/N(0) at the end of the simulated treatment course, plus the surviving-rim thickness (radial extent where n > viability threshold).",Distant relapse-free survival,A,Breast cancer after neoadjuvant chemotherapy (two cohorts: T/FAC and FAC),382 (241 + 141),"Greater residual burden -> worse DRFS (RCB class in multivariate model HR 2.50, 95% CI 1.70-3.69, P<0.001); minimal residual disease (RCB-I, 17%) behaved like pathologic complete response","Symmans WF 2007, Journal of Clinical Oncology",10.1200/JCO.2007.10.6823,partial,"Clinical RCB is a pathologist's index on a resected specimen (tumour bed size, cellularity, node number/size). Nodes are not simulable; the primary-tumour cellularity part maps to our surviving-rim readout by analogy only."
"Hypoxic fraction (pO2-histogram based, HP2.5)",Fraction of intratumoural polarographic pO2 readings at or below 2.5 mmHg.,"HF_sim = (int over viable domain of 1[c(r) <= c_thresh] * n(r) * 4*pi*r^2 dr) / (int n(r)*4*pi*r^2 dr), with c_thresh the model equivalent of 2.5 mmHg; report at nadir and time-averaged.",Overall survival,A,"Advanced head and neck cancer treated with primary radiotherapy (7 centres, international)",397,HP2.5 above the population median -> significantly worse OS (P=0.006); most significant factor in a stratified multivariate Cox model; 5-year survival approaches 0% in the most hypoxic tumours,"Nordsmark M 2005, Radiotherapy and Oncology",10.1016/j.radonc.2005.06.038,partial,"Largest hypoxia-outcome cohort. Our oxygen field is diffusion-only and avascular; the patient measurement includes vascular/acute hypoxia, so the two are analogous but not on a common scale."
Median tumour pO2,Median of intratumoural polarographic oxygen tension readings before treatment.,"Median of c(r,t=0) weighted by viable cell density.",Disease-free survival,A,Stage IV squamous carcinoma of the head and neck,28,Median pO2 > 10 mmHg vs < 10 mmHg: 12-month DFS 78% vs 22% (P=0.009); relapsing patients averaged 4.1 vs 17.1 mmHg (P=0.007),"Brizel DM 1997, International Journal of Radiation Oncology, Biology, Physics",10.1016/S0360-3016(97)00101-6,partial,"Small cohort but a clean, often-cited effect."
Tumour hypoxia (median pO2 < 10 mmHg) and malignant progression,Dichotomised pretreatment oxygenation status.,As median pO2 above.,Disease-free and overall survival; occult local spread,A,Locally advanced carcinoma of the uterine cervix (FIGO Ib bulky-IVb),103,Hypoxic tumours (50% of patients) had significantly worse DFS and OS; oxygenation and FIGO stage were the leading independent prognostic factors; failures were predominantly locoregional,"Hockel M 1996, Cancer Research",,partial,Oxygenation was independent of clinical stage and tumour size - evidence that a hypoxia readout adds information beyond size. No DOI registered for this 1996 Cancer Research paper (PMID 8813149).
"Hypoxic subvolume (FMISO-PET hypoxic volume, HV)",Volume of tumour with tracer tissue-to-blood ratio above 1.2 on 18F-fluoromisonidazole PET before radiotherapy.,"Absolute hypoxic volume = int over 1[c(r) <= c_thresh] * 4*pi*r^2 dr (an absolute volume, not a fraction).",Time to progression and overall survival,A,"Glioblastoma multiforme, pre-radiotherapy",22,Greater hypoxic volume or greater maximum T/B ratio -> shorter TTP and shorter survival (P<=0.001 by Kaplan-Meier; P<0.002 univariate),"Spence AM 2008, Clinical Cancer Research",10.1158/1078-0432.CCR-07-4995,partial,"Both an absolute hypoxic volume and a normalised fraction are outcome-associated - report both, since spheroid size varies across simulated conditions."
Immunohistochemical hypoxia score (pimonidazole-positive area),"Fraction of tumour section area positive for the 2-nitroimidazole hypoxia marker pimonidazole, with vascular density.",No direct analogue: requires an administered marker and stained tissue. The closest surrogate is the hypoxic-fraction readout above.,Locoregional tumour control,A,"Head and neck carcinoma (biopsies, ARCON-eligible)",43,Hypoxic tumours or tumours with low vascularity had significantly lower locoregional control,"Kaanders JHAM 2002, Cancer Research",,partial,Vascular density is not simulable at all. No DOI registered (PMID 12460928).
Hypoxia gene-expression classifier (15-gene),Transcriptional signature classifying tumours as hypoxic or not.,NOT computable - requires transcriptomic measurement.,Locoregional control and survival; also predicted benefit from hypoxic modification,A,Head and neck squamous cell carcinoma (randomised nimorazole vs placebo with radiotherapy),"58 training, 323 validation","Classifier-hypoxic tumours had significantly worse outcome, which was restored to the non-hypoxic level by adding hypoxic modification","Toustrup K 2011, Cancer Research",10.1158/0008-5472.CAN-11-1182,no,"Cite as evidence that hypoxia is causally actionable in patients, NOT as a metric we can compute."
Histologic coagulative tumour necrosis,Presence of coagulative necrosis on pathological review of the resected tumour.,"Necrotic fraction/core radius is directly computable, but the histologic entity has partly different causes (vascular collapse, not pure diffusion limitation).",Cancer-specific survival,A,"Renal cell carcinoma (Mayo Clinic Nephrectomy Registry, 1970-2002)",3009,"Necrosis present vs absent: death-from-RCC risk ratio 5.27 (95% CI 4.56-6.09, P<0.001) in clear cell and 4.20 (95% CI 1.65-10.68) in chromophobe; not significant in papillary (1.49, 95% CI 0.81-2.74, P=0.199)","Sengupta S 2005, Cancer",10.1002/cncr.21206,partial,"Largest cohort in this table. Tumour-type dependent - not a universal prognosticator, and RCC is not in NCI-ALMANAC's panel."
Pretreatment intrinsic radiosensitivity (SF2),Surviving fraction of tumour cells at 2 Gy measured ex vivo before treatment.,"Not applicable (no radiation in the model), but methodologically the closest precedent for an in vitro potency measure predicting patient outcome.","Overall survival, local control, metastasis-free survival",A,"Stage I-III carcinoma of the uterine cervix, radiotherapy",128,"SF2 below median vs above: 5-year survival 81% vs 51%; SF2 was the strongest variable in multivariate analysis, independent of stage, grade, age and tumour diameter","West CML 1997, British Journal of Cancer",10.1038/bjc.1997.531,no,"Included deliberately: it is the strongest published precedent that a purely in vitro cell-survival parameter can be independently prognostic in patients. Use it in the Discussion, not as a readout."
Tumour volume doubling time (TVDT),"Time for untreated tumour volume to double, from serial imaging.","TVDT = ln(2)/lambda from a log-linear fit to untreated simulated N(t); in practice this is set by our Gompertz/logistic calibration, so it is an input.",Survival (natural history),A,Small (<=5 cm) untreated hepatocellular carcinoma in cirrhosis,39 patients / 59 nodules,Doubling time ranged 27-606 days (median 172); growth pattern and doubling time entered multivariate analysis of survival,"Barbara L 1992, Hepatology",10.1002/hep.1840160122,partial,"Natural-history cohort, not a treatment-effect metric. Keep TVDT fixed across combinations."
Invasion velocity v = 2*sqrt(D*rho),"Asymptotic radial expansion speed of a travelling wave in the Fisher-KPP equation, with D the cell diffusivity and rho the net proliferation rate.",Direct from the model's own D and rho parameters; also measurable as the slope dR/dt of the simulated outer radius at a fixed density threshold.,Overall survival (via the underlying rho and D estimates),A,"Newly diagnosed glioblastoma, serial pretreatment MRI",32,"Higher model-derived proliferation and invasion rates -> worse prognosis, significant after controlling for age and Karnofsky performance status","Wang CH 2009, Cancer Research",10.1158/0008-5472.CAN-08-3863,partial,"TIER A ONLY FOR IMAGING-CALIBRATED GLIOMA. D and rho were fitted to each patient's own serial MRI (T1Gd and T2 radii). In our setup D is a fixed physical constant of the medium, so v cannot vary with drug combination unless the drug changes rho - the metric is largely degenerate for our use case."
Velocity of radial expansion (v) measured on paired pretreatment scans,Radial growth speed computed from two pretreatment MRI volumes with no intervening treatment.,dR/dt on the simulated density-threshold radius.,Survival relative to model-predicted untreated survival,A,Glioblastoma imaged twice before radiotherapy,small proof-of-principle series (single-digit to low-double-digit patients),"Wide inter-patient spread in v, D and rho; about half the patients survived as predicted without treatment (radioresistant) and about half survived up to roughly twice as long","Swanson KR 2008, Clinical Oncology",10.1016/j.clon.2008.01.006,partial,"Explicitly a proof of principle; small n. Cite for the method, not for an effect size."
Invasiveness ratio rho/D,"Ratio of net proliferation rate to cell diffusivity; high values are 'nodular', low values 'diffuse'.","Direct from model parameters (rho/D). In our model both are inputs, so this is a fixed constant across drug combinations.","Overall survival benefit from gross total resection (treatment-effect modification, not prognosis per se)",A,"Contrast-enhancing gliomas, routine pretreatment MRI",243,"Nodular (high rho/D) tumours gained significantly from gross total resection (P=0.00142; median survival benefit over eight months, ~80% improvement vs subtotal resection) while diffuse tumours gained nothing (P=0.532)","Baldock AL 2014, PLoS ONE",10.1371/journal.pone.0099057,no,"DO NOT CLAIM. Largest and cleanest rho/D result, but (i) it predicts benefit from SURGERY, not chemotherapy, (ii) it needs patient imaging calibration, and (iii) rho/D is a fixed input in our model. Cite as motivation for spatial modelling generally."
Days Gained (model-based response metric),"Difference between the model-predicted untreated tumour trajectory and the observed post-treatment trajectory, expressed in days of growth delay.",Simulated analogue: time shift between treated and untreated N(t) curves at a matched burden threshold - a growth-delay measure.,Time to recurrence and overall survival; distinguished true progression from pseudoprogression,A,"Newly diagnosed glioblastoma, first post-radiotherapy MRI",63,Higher Days Gained -> longer time to recurrence and longer OS,"Neal ML 2013, Cancer Research",10.1158/0008-5472.CAN-12-3588,partial,"The CONCEPT (model-predicted-untreated minus treated, as a time shift) transfers cleanly to a spheroid and is arguably our best-motivated spatial readout. The patient VALIDATION is imaging-calibrated glioma under radiotherapy - do not claim our version is validated."
Model-derived proliferation rate rho linked to hypoxic burden,"Patient-specific net proliferation rate from MRI-calibrated Fisher-KPP, correlated with PET hypoxia.",rho is a model input; the hypoxia coupling (hypoxic burden rising with proliferation) is emergent and checkable in our model.,"Association between growth kinetics and hypoxic burden (mechanistic link, not a survival endpoint in this paper)",C,Newly diagnosed glioblastoma with FMISO-PET and serial MRI,11,More aggressive model kinetics associated with greater hypoxic burden,"Szeto MD 2009, Cancer Research",10.1158/0008-5472.CAN-08-3884,yes,"Useful as a face-validity check on our coupled model: our simulations should reproduce the direction of this association. n=11, and no survival endpoint here."
Radiotherapy-response parameter from patient-specific PDE model,Model-estimated radiation efficacy fitted per patient by matching predicted and observed post-treatment imaging.,"Analogous fitting could be done for a drug term, but our drug term is prescribed from the Hill curve, not fitted to patient data.",Survival / individual treatment response,A,Newly diagnosed glioblastoma treated with radiotherapy,9,Model-predicted response varied widely across patients and tracked observed outcome,"Rockne R 2010, Physics in Medicine and Biology",10.1088/0031-9155/55/12/001,no,n=9. Method paper. Requires patient imaging to calibrate.
Drug penetration depth (distance to half perivascular concentration),Distance over which drug concentration falls to half its value at the source boundary.,From the simulated drug field: L_half = R_outer - r at which C(r) = 0.5*C(R_outer); report per drug and time-averaged over dosing.,Mechanism of chemoresistance (spatial escape of viable cells from drug exposure),B,Murine 16C and EMT6 tumours and human PC-3 xenografts (doxorubicin),3 tumour models,"Doxorubicin concentration decayed exponentially with distance from vessels, halving over ~40-50 um, while hypoxic regions lay 90-140 um away; many viable cells saw no detectable drug","Primeau AJ 2005, Clinical Cancer Research",10.1158/1078-0432.CCR-05-1664,yes,"Quantitative anchor for our penetration length scale. Xenograft, not patient outcome."
Penetration-limited drug exposure in multicell layers,Depth-resolved drug concentration through a ~200 um multicellular layer grown on a permeable support.,"Same as penetration depth, in slab rather than spherical geometry.",Resistance of solid tumours to chemotherapy (mechanism),B,EMT-6 mouse mammary and MGH-U1 human bladder multicell layers,2 cell lines,"Cisplatin, etoposide, gemcitabine, paclitaxel and vinblastine all penetrated slowly relative to the support membrane alone","Tannock IF 2002, Clinical Cancer Research",,yes,Directly relevant: five of these drugs are in the ALMANAC panel. No DOI registered (PMID 11895922).
Taxane penetration limit (~100 um),Depth of paclitaxel/docetaxel penetration into tumour tissue and multilayered cell culture.,"As penetration depth, per drug, using drug-specific D.",Reduced drug effect (S-phase depletion) in cells distant from vasculature,B,HCT-116 xenografts and multilayered cell culture,1 xenograft line + MCC,Little drug beyond ~100 um; paclitaxel penetrated up to 2-fold better than docetaxel; up to 75% reduction in S-phase cells near vessels but not far from them,"Kyle AH 2007, Clinical Cancer Research",10.1158/1078-0432.CCR-06-1941,yes,Gives drug-to-drug differences in penetration - the mechanism by which our model can reorder combinations relative to in vitro potency.
Packing-density / adhesion dependence of penetration,Penetration through multicellular layers as a function of cell packing density and cadherin-catenin adhesion.,Enters the model as the tortuosity/effective-D scaling with cell density n(r); a sensitivity axis rather than a readout.,Therapeutic efficacy in the model system,B,Colon carcinoma sublines (epithelioid vs round; alpha-E-catenin differences),2 subline pairs,"Paclitaxel, doxorubicin, methotrexate and 5-fluorouracil all penetrated significantly better through loosely packed than tightly packed layers","Grantab R 2006, Cancer Research",10.1158/0008-5472.CAN-05-3077,yes,Justifies making effective drug diffusivity density-dependent; also names 4 ALMANAC drugs.
Methotrexate tissue-penetration determinants,Factors governing penetration of a small-molecule antifolate through solid tissue.,Same penetration machinery; supports drug-specific diffusion/consumption parameters.,Drug exposure gradients (mechanism),B,Multicell layer model,in vitro,Penetration limited and modifiable by tissue properties,"Cowan DSM 2001, International Journal of Cancer",10.1002/1097-0215(20010101)91:1<120::AID-IJC1021>3.0.CO;2-Y,yes,
Multicellular resistance not seen in monolayer ('in vivo only' resistance),Resistance to alkylating agents that appears in three-dimensional/in vivo context but not in monolayer culture.,Emergent in our model: the same Hill curve yields lower kill in 3D than in a well-mixed setting.,Chemoresistance mechanism,B,"Murine tumour models, alkylating agents",multiple tumour models,Resistance conferred by mechanisms operative only in vivo,"Teicher BA 1990, Science",10.1126/science.247.4949.1457,yes,Historic anchor for the whole premise that in vitro potency overstates 3D efficacy.
Review-level synthesis of penetration barriers,Overview of transport limitations that keep drugs from reaching all tumour cells.,Conceptual framing for the drug PDE.,Treatment failure (mechanism),C,Solid tumours generally,review,Limited penetration is a general and modifiable cause of resistance,"Minchinton AI 2006, Nature Reviews Cancer",10.1038/nrc1893,yes,"Review - use for framing only, never as a source of an effect size."
Hypoxia- and necrosis-associated chemoresistance in spheroids,Chemosensitivity as a function of spheroid size and the presence of hypoxic and necrotic zones.,Directly reproduced: kill per unit dose falls as hypoxic fraction and necrotic core grow with spheroid radius.,Resistance to 5-fluorouracil,B,Colorectal cancer cell spheroids (size series),in vitro spheroid series,Spheroids containing both hypoxic and necrotic zones most closely resembled in vivo expression profiles and were the most 5-FU-resistant,"Daster S 2017, Oncotarget",10.18632/oncotarget.13857,yes,"The single most on-point experimental validation for our model's core mechanism, and 5-FU is in ALMANAC."
Oxygen diffusion limit / viable rim thickness (~150-200 um),"Distance from an oxygen source beyond which cells cannot remain viable, seen histologically as a viable rim around a necrotic core.",Viable rim thickness = R_outer - r_necrotic where r_necrotic is where c(r) falls below the necrosis threshold; a direct model output.,Motivates hypoxic radioresistance in human tumours (original observation),C,Human lung cancer histology,histological series,"Necrotic centres appear once tumour cords exceed roughly twice the oxygen diffusion distance, implying a viable rim of order 100-200 um","Thomlinson RH 1955, British Journal of Cancer",10.1038/bjc.1955.55,yes,"Foundational, but a histological/mechanistic observation - not an outcome-validated metric."
Oxygen enhancement of radiation response (why hypoxia matters mechanistically),Dependence of radiobiological damage on dissolved oxygen concentration at irradiation.,Not applicable (no radiation term in our model).,Radiosensitivity,C,"Radiobiology, general",n/a,Oxygen concentration at irradiation determines biological effect,"Gray LH 1953, The British Journal of Radiology",10.1259/0007-1285-26-312-638,no,Cite only to explain why hypoxia was historically measured; irrelevant to a chemotherapy-only model.
Oxygen consumption rate (OCR) and spheroid growth,Mechanistic link from cellular oxygen consumption and doubling time to the sigmoidal spheroid growth curve.,Our model's own oxygen reaction-diffusion equation; OCR is a calibratable parameter with published values.,"Growth-curve shape and oxygen distribution (model validity, not patient outcome)",C,"Multiple cell lines, spheroids",multiple cell lines,"Derived growth curves from doubling time and OCR; recovered OCR values consistent with independent measurement, and inferred gemcitabine-induced OCR change","Grimes DR 2016, PLoS ONE",10.1371/journal.pone.0153692,yes,"Best source for calibrating our oxygen parameters, and evidence that drug effects on OCR are inferable from spheroid growth."
Spheroid oxygen consumption and diffusion coefficients (measured),Experimental determination of OCR and oxygen diffusivity in multicellular spheroids.,Parameter source for the oxygen PDE.,n/a (parameter measurement),C,Multicellular spheroids,n/a,Provides the measured constants that set the oxygen penetration depth,"Mueller-Klieser W 1984, Biophysical Journal",10.1016/S0006-3495(84)84030-8,yes,Cite for parameter provenance.
Spheroid internal structure from mathematical modelling (necrotic/quiescent/proliferating zones),"Model-based decomposition of a spheroid into proliferating rim, quiescent zone and necrotic core, fitted to spheroid data.","Direct: zone radii and zonal cell counts from n(r,t) and c(r,t).",Spheroid cellular dynamics (model validity),C,"Tumour spheroids (in vitro, model-fitted)",in vitro,Zonal structure and its dynamics are recoverable from growth and staining data,"Bull JA 2020, PLoS Computational Biology",10.1371/journal.pcbi.1007961,yes,Methodological precedent for exactly the zone-partition readouts we propose.
Time to regrowth after treatment stops,Time from end of therapy until tumour burden returns to a reference level (e.g. baseline or nadir + x%).,First simulated time after dosing ends at which N(t) >= N(0) (or nadir*(1+x)); with a post-treatment simulation window.,Proxy for time-to-progression; NOT itself validated in patients,C,n/a,,Mechanistically monotone with residual burden and net growth rate,"Bruno R 2020, Clinical Cancer Research",10.1158/1078-0432.CCR-19-0287,yes,"Closely related to the validated TTG and Days Gained metrics but not itself an outcome-validated endpoint. Report as an engineering readout, label tier C."
Surviving-rim cellularity / residual viable shell geometry,Amount and radial location of viable tumour cells surviving therapy.,"int over the viable shell of n(r,t_end)*4*pi*r^2 dr, plus rim thickness and its inner/outer radii.",Mechanistic driver of regrowth; the primary-tumour cellularity component of clinical residual-burden indices,C,"n/a (analogous to breast RCB cellularity term, validated only as part of the full pathological index)",,More surviving rim -> faster regrowth in the model,"Symmans WF 2007, Journal of Clinical Oncology",10.1200/JCO.2007.10.6823,yes,"The clinical index it resembles (RCB) is Tier A, but RCB includes nodal terms we cannot simulate; our version is a mechanistic analogue only."
Tumour growth inhibition (TGI) in xenografts as a translation bridge,"Percent inhibition of xenograft tumour growth relative to control, simulated at clinically relevant human exposures.",Analogous: percent reduction in simulated burden at a matched drug exposure.,Clinical response of the agent,B,8 molecularly targeted and cytotoxic agents with known clinical outcome,8 agents,"Significant correlation (r=0.91, P=0.0008) between simulated xenograft TGI at human pharmacokinetics and clinical response, but NOT when TGI at the mouse maximum tolerated dose was used","Wong H 2012, Clinical Cancer Research",10.1158/1078-0432.CCR-12-0738,partial,"Crucial caveat: the correlation held only after correcting for human exposure. Our model has no PK - so this supports the approach only if we are explicit that we are comparing at matched exposure, not matched dose."
Preclinical tumour-growth-inhibition PK-PD model (Simeoni),"Minimal PK-PD model of tumour growth under drug, yielding a drug-potency parameter k2 transferable across compounds.",Our kill term is the spatial generalisation of this; the fitted potency parameter is the non-spatial analogue.,Antitumour activity in xenografts; basis for predicting active human doses,B,"Xenograft studies, multiple anticancer agents",multiple agents,Model captured xenograft growth kinetics and yielded a transferable potency index,"Simeoni M 2004, Cancer Research",10.1158/0008-5472.CAN-03-2524,yes,Methodological ancestor of our kill term. Companion paper extends it to predicting active human doses.
Preclinical-to-clinical active-dose prediction,Use of the preclinical PK-PD potency parameter to predict active doses in humans.,n/a - requires PK.,Active dose in humans,B,"Anticancer agents, animal-to-human translation",multiple agents,Preclinical potency estimates supported prediction of clinically active doses,"Rocchetti M 2007, European Journal of Cancer",10.1016/j.ejca.2007.05.011,no,Requires pharmacokinetics; we have none. Cite as the limitation we are not addressing.
Choice of growth law (Gompertz vs logistic vs exponential),Comparative fit and forecasting performance of classical tumour growth models.,Determines the baseline growth term in our PDE.,Growth-curve fit and forecast (not patient outcome),C,Experimental tumour growth data (murine),multiple datasets,Model ranking depends on the dataset and on whether the task is description or forecast,"Benzekry S 2014, PLoS Computational Biology",10.1371/journal.pcbi.1003800,yes,"Cite for justifying the growth term, and for the fact that this choice is not innocuous."
Hypoxia-targeting fails when patients are unselected (tirapazamine),Randomised addition of a hypoxia-activated cytotoxin to chemoradiotherapy without hypoxia-based selection.,n/a - a cautionary clinical result.,Overall survival - NO benefit,A (negative),"Stage III/IV squamous cell carcinoma of the head and neck (TROG 02.02 HeadSTART, phase III)","861 (89 sites, 16 countries)","2-year OS 65.7% (cisplatin) vs 66.2% (tirapazamine + cisplatin); no difference in failure-free survival, time to locoregional failure or quality of life","Rischin D 2010, Journal of Clinical Oncology",10.1200/JCO.2009.27.4449,no,"ESSENTIAL CAUTION: hypoxia is prognostic, but a hypoxia-directed intervention in unselected patients did not improve survival. A model that predicts hypoxia-modulated kill is not thereby predicting patient benefit."
